Episode,AvgReward,P1_WinRate,P1_Annihil,P1_Attrit,P2_Annihil,P2_Attrit,DrawRate,AvgSteps,Timestamp
38100,-190.96,0.41,0.14,0.27,0.18,0.22,0.19,1039.5,2025-12-01T21:51:27.658692
38200,-184.47,0.38,0.16,0.22,0.17,0.30,0.15,1056.7,2025-12-01T21:54:45.637140
38300,-213.33,0.36,0.16,0.20,0.16,0.29,0.19,1069.3,2025-12-01T21:58:05.664278
38400,-259.38,0.35,0.16,0.19,0.10,0.39,0.16,1097.4,2025-12-01T22:01:31.539736
38500,-152.89,0.40,0.21,0.19,0.16,0.29,0.15,1037.7,2025-12-01T22:04:46.627559
38600,-288.86,0.37,0.09,0.28,0.14,0.27,0.22,1100.2,2025-12-01T22:10:52.377979
38700,-261.92,0.37,0.12,0.25,0.16,0.22,0.25,1097.4,2025-12-01T22:14:18.216133
38800,-273.26,0.40,0.11,0.29,0.12,0.35,0.13,1091.5,2025-12-01T22:17:43.145375
38900,-300.37,0.44,0.09,0.35,0.12,0.23,0.21,1106.5,2025-12-01T22:21:12.686903
39000,-271.98,0.44,0.14,0.30,0.10,0.32,0.14,1104.1,2025-12-01T22:24:41.042645
39100,-208.05,0.36,0.09,0.27,0.22,0.25,0.17,1058.5,2025-12-01T22:29:33.390617
39200,-200.01,0.41,0.20,0.21,0.12,0.28,0.19,1048.8,2025-12-01T22:32:51.033603
39300,-156.30,0.41,0.09,0.32,0.27,0.14,0.18,1003.0,2025-12-01T22:36:00.113888
39400,-186.61,0.43,0.10,0.33,0.22,0.19,0.16,1035.2,2025-12-01T22:39:14.379001
39500,-162.08,0.40,0.11,0.29,0.23,0.26,0.11,1017.4,2025-12-01T22:42:26.266185
39600,-205.87,0.43,0.11,0.32,0.18,0.28,0.11,1059.5,2025-12-01T22:48:23.215555
39700,-125.91,0.48,0.16,0.32,0.22,0.20,0.10,1006.7,2025-12-01T22:51:35.509529
39800,-315.04,0.43,0.09,0.34,0.11,0.23,0.23,1113.3,2025-12-01T22:55:02.282454
39900,-241.22,0.41,0.09,0.32,0.18,0.24,0.17,1081.0,2025-12-01T22:58:23.978116
40000,-244.85,0.42,0.10,0.32,0.18,0.21,0.19,1073.3,2025-12-01T23:01:44.657616
40100,-134.23,0.39,0.16,0.23,0.21,0.27,0.13,1008.5,2025-12-01T23:07:33.630750
40200,-251.23,0.48,0.12,0.36,0.15,0.24,0.13,1092.5,2025-12-01T23:10:57.500628
40300,-196.72,0.39,0.13,0.26,0.19,0.28,0.14,1063.2,2025-12-01T23:14:16.064404
40400,-176.54,0.35,0.10,0.25,0.25,0.18,0.22,1015.3,2025-12-01T23:17:26.378295
40500,-229.33,0.45,0.11,0.34,0.17,0.23,0.15,1068.8,2025-12-01T23:20:47.071868
40600,-38.41,0.52,0.23,0.29,0.23,0.15,0.10,954.6,2025-12-01T23:25:16.618004
40700,-117.99,0.42,0.21,0.21,0.18,0.22,0.18,990.3,2025-12-01T23:28:23.394681
40800,-110.83,0.47,0.21,0.26,0.17,0.21,0.15,982.4,2025-12-01T23:31:30.611338
40900,-27.89,0.50,0.32,0.18,0.16,0.22,0.12,955.7,2025-12-01T23:34:33.792233
41000,-159.26,0.43,0.17,0.26,0.15,0.29,0.13,1010.2,2025-12-01T23:37:44.858321
41100,-91.29,0.46,0.23,0.23,0.21,0.21,0.12,983.6,2025-12-01T23:42:15.020760
41200,-149.79,0.52,0.21,0.31,0.15,0.20,0.13,1021.3,2025-12-01T23:45:29.559819
41300,-19.53,0.42,0.24,0.18,0.27,0.22,0.09,946.0,2025-12-01T23:48:30.265327
41400,-166.57,0.44,0.19,0.25,0.16,0.21,0.19,1030.1,2025-12-01T23:51:45.632422
41500,-221.84,0.49,0.15,0.34,0.14,0.21,0.16,1065.3,2025-12-01T23:55:06.978903
41600,-106.31,0.49,0.21,0.28,0.19,0.18,0.14,983.1,2025-12-02T00:00:54.181098
41700,-140.36,0.50,0.17,0.33,0.20,0.19,0.11,1030.7,2025-12-02T00:04:07.128824
41800,-155.07,0.47,0.22,0.25,0.13,0.24,0.16,1009.7,2025-12-02T00:07:17.240347
41900,-106.61,0.47,0.20,0.27,0.21,0.12,0.20,980.7,2025-12-02T00:10:23.911200
42000,-127.03,0.46,0.22,0.24,0.16,0.19,0.19,990.4,2025-12-02T00:13:29.641882
42100,-103.96,0.50,0.20,0.30,0.21,0.20,0.09,989.8,2025-12-02T00:18:12.442386
42200,-165.81,0.42,0.12,0.30,0.22,0.22,0.14,1028.1,2025-12-02T00:21:25.117378
42300,-239.24,0.41,0.09,0.32,0.19,0.22,0.18,1057.4,2025-12-02T00:24:42.006638
42400,-212.25,0.51,0.14,0.37,0.14,0.25,0.10,1042.9,2025-12-02T00:27:57.627259
42500,-220.05,0.57,0.14,0.43,0.16,0.12,0.15,1059.8,2025-12-02T00:31:16.126206
42600,-224.07,0.27,0.04,0.23,0.27,0.27,0.19,1074.8,2025-12-02T00:37:16.924995
42700,-238.10,0.49,0.12,0.37,0.15,0.23,0.13,1082.3,2025-12-02T00:40:40.644396
42800,-197.54,0.41,0.09,0.32,0.22,0.26,0.11,1049.5,2025-12-02T00:43:56.192673
42900,-254.79,0.45,0.11,0.34,0.14,0.27,0.14,1087.8,2025-12-02T00:47:19.197138
43000,-317.27,0.49,0.10,0.39,0.08,0.30,0.13,1136.5,2025-12-02T00:50:50.186364
43100,-149.13,0.46,0.18,0.28,0.20,0.20,0.14,1039.7,2025-12-02T00:56:43.895531
43200,-189.68,0.40,0.14,0.26,0.18,0.25,0.17,1037.7,2025-12-02T00:59:58.104023
43300,-158.79,0.60,0.22,0.38,0.13,0.18,0.09,1035.4,2025-12-02T01:03:13.601608
43400,-232.17,0.44,0.14,0.30,0.14,0.25,0.17,1067.4,2025-12-02T01:06:32.985840
43500,-166.18,0.44,0.14,0.30,0.21,0.23,0.12,1030.6,2025-12-02T01:09:46.390451
43600,-106.40,0.48,0.19,0.29,0.23,0.21,0.08,1012.2,2025-12-02T01:15:36.830457
43700,-229.26,0.50,0.16,0.34,0.13,0.20,0.17,1068.3,2025-12-02T01:18:56.332717
43800,-150.06,0.49,0.18,0.31,0.20,0.20,0.11,1043.4,2025-12-02T01:22:11.881466
43900,-207.43,0.62,0.19,0.43,0.11,0.17,0.10,1069.6,2025-12-02T01:25:34.656880
44000,-138.34,0.55,0.22,0.33,0.14,0.21,0.10,1015.2,2025-12-02T01:28:45.006727
44100,-156.48,0.42,0.18,0.24,0.19,0.24,0.15,1050.3,2025-12-02T01:34:26.695777
44200,-83.16,0.44,0.25,0.19,0.18,0.28,0.10,981.4,2025-12-02T01:37:31.451908
44300,-191.34,0.41,0.22,0.19,0.11,0.33,0.15,1069.0,2025-12-02T01:40:51.781597
44400,-109.88,0.50,0.22,0.28,0.16,0.23,0.11,987.3,2025-12-02T01:43:58.022954
44500,-87.12,0.45,0.25,0.20,0.19,0.17,0.19,975.4,2025-12-02T01:47:01.462739
44600,-169.81,0.48,0.20,0.28,0.13,0.27,0.12,1031.9,2025-12-02T01:52:54.732210
44700,-211.25,0.50,0.19,0.31,0.12,0.22,0.16,1066.5,2025-12-02T01:56:13.431005
44800,-100.28,0.49,0.23,0.26,0.19,0.19,0.13,979.5,2025-12-02T01:59:17.816110
44900,-132.36,0.47,0.22,0.25,0.18,0.22,0.13,1006.6,2025-12-02T02:02:27.527412
45000,-120.22,0.35,0.16,0.19,0.22,0.33,0.10,993.8,2025-12-02T02:05:34.713361
45100,-153.33,0.54,0.17,0.37,0.19,0.12,0.15,1029.4,2025-12-02T02:11:26.426945
45200,-206.77,0.54,0.15,0.39,0.14,0.23,0.09,1067.2,2025-12-02T02:14:45.588725
45300,-203.32,0.45,0.18,0.27,0.14,0.24,0.17,1057.9,2025-12-02T02:18:03.242975
45400,-195.70,0.50,0.18,0.32,0.13,0.22,0.15,1040.7,2025-12-02T02:21:19.104703
45500,-163.81,0.50,0.18,0.32,0.17,0.20,0.13,1032.3,2025-12-02T02:24:32.906261
45600,-142.66,0.48,0.23,0.25,0.18,0.18,0.16,1036.5,2025-12-02T02:30:26.705317
45700,-261.68,0.49,0.12,0.37,0.13,0.20,0.18,1083.6,2025-12-02T02:33:48.407365
45800,-172.79,0.57,0.20,0.37,0.15,0.16,0.12,1034.1,2025-12-02T02:37:05.840582
45900,-180.63,0.52,0.19,0.33,0.15,0.16,0.17,1049.0,2025-12-02T02:40:25.931464
46000,-42.08,0.62,0.36,0.26,0.13,0.16,0.09,958.0,2025-12-02T02:43:29.348678
46100,-73.35,0.38,0.19,0.19,0.26,0.19,0.17,958.6,2025-12-02T02:49:14.470470
46200,-55.84,0.49,0.27,0.22,0.19,0.16,0.16,977.7,2025-12-02T02:52:21.853407
46300,-148.66,0.42,0.21,0.21,0.15,0.24,0.19,1001.7,2025-12-02T02:55:33.669423
46400,-6.90,0.47,0.25,0.22,0.26,0.14,0.13,919.2,2025-12-02T02:58:30.835492
46500,-60.36,0.56,0.32,0.24,0.12,0.23,0.09,966.7,2025-12-02T03:01:37.663815
46600,-114.57,0.45,0.19,0.26,0.22,0.15,0.18,995.2,2025-12-02T03:06:17.483443
46700,-136.41,0.46,0.20,0.26,0.18,0.23,0.13,1019.5,2025-12-02T03:09:32.770417
46800,-134.74,0.44,0.18,0.26,0.18,0.26,0.12,998.9,2025-12-02T03:12:46.117405
46900,-161.36,0.51,0.24,0.27,0.14,0.14,0.21,1038.1,2025-12-02T03:16:03.838740
47000,-133.46,0.57,0.31,0.26,0.11,0.19,0.13,1024.1,2025-12-02T03:19:16.238966
47100,-125.64,0.45,0.22,0.23,0.18,0.24,0.13,1017.2,2025-12-02T03:25:07.435566
47200,-216.16,0.47,0.15,0.32,0.15,0.22,0.16,1054.0,2025-12-02T03:28:24.856543
47300,-132.07,0.48,0.21,0.27,0.20,0.18,0.14,1029.2,2025-12-02T03:31:38.217986
47400,-106.75,0.44,0.24,0.20,0.19,0.22,0.15,989.1,2025-12-02T03:34:45.531218
47500,-136.42,0.43,0.20,0.23,0.19,0.19,0.19,1001.7,2025-12-02T03:37:54.042265
47600,-109.65,0.40,0.16,0.24,0.26,0.21,0.13,1006.0,2025-12-02T03:43:13.157408
47700,-81.33,0.50,0.25,0.25,0.20,0.18,0.12,984.3,2025-12-02T03:46:19.123179
47800,-76.36,0.42,0.19,0.23,0.26,0.16,0.16,979.5,2025-12-02T03:49:24.338022
47900,-109.54,0.48,0.24,0.24,0.18,0.22,0.12,1023.5,2025-12-02T03:52:37.199621
48000,-89.13,0.39,0.15,0.24,0.26,0.28,0.07,978.0,2025-12-02T03:55:42.465950
48100,-83.57,0.57,0.30,0.27,0.13,0.18,0.12,992.5,2025-12-02T04:00:48.600479
48200,1.52,0.58,0.35,0.23,0.18,0.15,0.09,926.4,2025-12-02T04:03:44.175079
48300,-102.05,0.45,0.23,0.22,0.19,0.20,0.16,1002.8,2025-12-02T04:06:53.570869
48400,-31.20,0.48,0.31,0.17,0.19,0.15,0.18,937.4,2025-12-02T04:09:52.701408
48500,-104.27,0.56,0.29,0.27,0.13,0.14,0.17,1004.6,2025-12-02T04:13:02.023687
48600,-122.92,0.59,0.27,0.32,0.13,0.14,0.14,1015.7,2025-12-02T04:18:52.857982
48700,-134.60,0.51,0.22,0.29,0.17,0.17,0.15,1029.4,2025-12-02T04:22:06.251307
48800,-120.62,0.45,0.14,0.31,0.25,0.17,0.13,1006.4,2025-12-02T04:25:15.685643
48900,-111.72,0.48,0.18,0.30,0.23,0.14,0.15,1002.6,2025-12-02T04:28:24.888463
49000,-204.26,0.52,0.15,0.37,0.14,0.22,0.12,1045.8,2025-12-02T04:31:41.467451
49100,1.17,0.50,0.34,0.16,0.19,0.15,0.16,903.4,2025-12-02T04:35:52.270642
49200,-107.04,0.49,0.25,0.24,0.16,0.20,0.15,993.1,2025-12-02T04:39:02.895307
49300,-63.07,0.41,0.25,0.16,0.22,0.17,0.20,964.8,2025-12-02T04:42:05.889856
49400,-77.47,0.48,0.29,0.19,0.15,0.23,0.14,980.2,2025-12-02T04:45:10.789066
49500,-1.73,0.48,0.31,0.17,0.21,0.16,0.15,936.0,2025-12-02T04:48:08.115159
49600,-179.28,0.34,0.16,0.18,0.17,0.34,0.15,1035.5,2025-12-02T04:52:49.914547
49700,-88.19,0.55,0.25,0.30,0.19,0.10,0.16,1003.6,2025-12-02T04:55:58.751330
49800,-121.30,0.48,0.25,0.23,0.16,0.23,0.13,1021.4,2025-12-02T04:59:10.761404
49900,-11.65,0.57,0.29,0.28,0.20,0.09,0.14,913.1,2025-12-02T05:02:04.729121
50000,-125.13,0.47,0.25,0.22,0.15,0.18,0.20,996.7,2025-12-02T05:05:12.135450
50100,-90.18,0.57,0.32,0.25,0.11,0.19,0.13,995.9,2025-12-02T05:11:00.155407
50200,17.80,0.43,0.30,0.13,0.26,0.16,0.15,933.7,2025-12-02T05:13:57.393714
50300,-51.55,0.47,0.27,0.20,0.20,0.18,0.15,978.0,2025-12-02T05:17:02.365482
50400,-2.08,0.42,0.29,0.13,0.25,0.17,0.16,934.5,2025-12-02T05:19:58.838322
50500,-33.69,0.47,0.29,0.18,0.19,0.24,0.10,955.7,2025-12-02T05:23:00.264174
50600,-85.95,0.43,0.18,0.25,0.24,0.18,0.15,967.8,2025-12-02T05:28:42.175457
50700,-48.29,0.50,0.23,0.27,0.24,0.18,0.08,975.5,2025-12-02T05:31:46.297591
50800,-49.62,0.42,0.24,0.18,0.21,0.18,0.19,947.8,2025-12-02T05:34:44.892441
50900,-0.62,0.49,0.26,0.23,0.24,0.16,0.11,936.7,2025-12-02T05:37:41.919195
51000,-36.48,0.46,0.24,0.22,0.25,0.12,0.17,967.4,2025-12-02T05:40:44.689328
51100,-100.78,0.48,0.26,0.22,0.17,0.18,0.17,1004.6,2025-12-02T05:46:33.521263
51200,-103.08,0.41,0.15,0.26,0.26,0.20,0.13,991.9,2025-12-02T05:49:39.799087
51300,-163.41,0.52,0.13,0.39,0.20,0.13,0.15,1034.9,2025-12-02T05:52:53.979426
51400,-132.16,0.37,0.09,0.28,0.27,0.23,0.13,1009.5,2025-12-02T05:56:03.415274
51500,-164.37,0.51,0.11,0.40,0.21,0.17,0.11,1031.5,2025-12-02T05:59:16.799602
51600,-34.47,0.58,0.35,0.23,0.13,0.15,0.14,955.5,2025-12-02T06:03:51.251277
51700,-32.43,0.47,0.29,0.18,0.20,0.18,0.15,960.9,2025-12-02T06:06:52.459513
51800,-65.41,0.44,0.28,0.16,0.18,0.16,0.22,957.7,2025-12-02T06:09:54.206787
51900,-57.46,0.41,0.24,0.17,0.24,0.20,0.15,989.5,2025-12-02T06:13:00.689598
52000,-94.96,0.53,0.25,0.28,0.17,0.13,0.17,1000.0,2025-12-02T06:16:09.109055
52100,-19.80,0.55,0.30,0.25,0.19,0.15,0.11,952.2,2025-12-02T06:21:23.183476
52200,24.12,0.51,0.36,0.15,0.20,0.18,0.11,945.5,2025-12-02T06:24:21.940331
52300,-25.19,0.56,0.30,0.26,0.19,0.10,0.15,959.7,2025-12-02T06:27:23.195492
52400,-32.99,0.47,0.22,0.25,0.26,0.18,0.09,954.7,2025-12-02T06:30:23.933700
52500,-26.42,0.49,0.30,0.19,0.22,0.16,0.13,971.6,2025-12-02T06:33:29.483898
52600,-80.05,0.47,0.28,0.19,0.17,0.16,0.20,986.0,2025-12-02T06:39:15.771495
52700,-89.11,0.45,0.21,0.24,0.22,0.16,0.17,981.8,2025-12-02T06:42:22.661742
52800,-94.34,0.50,0.27,0.23,0.14,0.23,0.13,983.1,2025-12-02T06:45:29.263493
52900,-152.09,0.52,0.24,0.28,0.13,0.20,0.15,1043.8,2025-12-02T06:48:46.277357
53000,-149.43,0.48,0.22,0.26,0.15,0.22,0.15,1061.1,2025-12-02T06:52:06.106912
53100,-35.75,0.50,0.26,0.24,0.23,0.17,0.10,974.8,2025-12-02T06:57:49.159096
53200,-82.62,0.52,0.20,0.32,0.23,0.12,0.13,985.8,2025-12-02T07:00:54.541867
53300,-97.84,0.59,0.26,0.33,0.18,0.11,0.12,1012.8,2025-12-02T07:04:04.603976
53400,-192.84,0.44,0.13,0.31,0.19,0.17,0.20,1057.5,2025-12-02T07:07:22.597704
53500,-157.34,0.52,0.16,0.36,0.20,0.13,0.15,1052.7,2025-12-02T07:10:39.826937
53600,-79.43,0.50,0.26,0.24,0.20,0.15,0.15,999.7,2025-12-02T07:15:21.074417
53700,-157.71,0.47,0.16,0.31,0.19,0.14,0.20,1021.0,2025-12-02T07:18:33.164624
53800,-94.71,0.43,0.23,0.20,0.20,0.18,0.19,995.0,2025-12-02T07:21:40.530825
53900,-103.07,0.52,0.26,0.26,0.16,0.18,0.14,998.2,2025-12-02T07:24:48.082825
54000,-106.05,0.44,0.20,0.24,0.21,0.16,0.19,975.8,2025-12-02T07:27:51.400753
54100,-198.70,0.49,0.13,0.36,0.18,0.18,0.15,1058.2,2025-12-02T07:33:49.221757
54200,-212.31,0.52,0.13,0.39,0.18,0.13,0.17,1072.2,2025-12-02T07:37:09.900156
54300,-197.21,0.50,0.08,0.42,0.23,0.15,0.12,1053.7,2025-12-02T07:40:27.862644
54400,-222.98,0.51,0.08,0.43,0.21,0.15,0.13,1055.2,2025-12-02T07:43:45.217171
54500,-200.79,0.52,0.11,0.41,0.19,0.16,0.13,1048.9,2025-12-02T07:47:02.403889
54600,-131.01,0.49,0.19,0.30,0.20,0.20,0.11,1008.2,2025-12-02T07:52:52.540209
54700,-136.16,0.47,0.25,0.22,0.15,0.18,0.20,1024.3,2025-12-02T07:56:04.839320
54800,-90.04,0.50,0.23,0.27,0.19,0.20,0.11,984.5,2025-12-02T07:59:10.083828
54900,-110.45,0.58,0.33,0.25,0.09,0.19,0.14,1022.2,2025-12-02T08:02:22.601543
55000,-73.97,0.52,0.31,0.21,0.16,0.13,0.19,971.5,2025-12-02T08:05:25.596010
55100,-66.57,0.41,0.19,0.22,0.28,0.18,0.13,986.8,2025-12-02T08:11:11.867543
55200,-112.26,0.52,0.26,0.26,0.15,0.17,0.16,1009.2,2025-12-02T08:14:21.635197
55300,-110.26,0.51,0.19,0.32,0.21,0.16,0.12,1000.8,2025-12-02T08:17:29.229345
55400,-100.59,0.50,0.24,0.26,0.18,0.17,0.15,998.0,2025-12-02T08:20:37.889604
55500,-129.91,0.49,0.23,0.26,0.16,0.21,0.14,1016.7,2025-12-02T08:23:48.862848
55600,-119.11,0.34,0.12,0.22,0.26,0.29,0.11,1011.0,2025-12-02T08:29:38.171675
55700,-112.13,0.41,0.20,0.21,0.20,0.20,0.19,994.4,2025-12-02T08:32:45.949225
55800,-97.30,0.45,0.25,0.20,0.17,0.19,0.19,980.2,2025-12-02T08:35:50.187578
55900,-133.54,0.44,0.18,0.26,0.18,0.24,0.14,1012.4,2025-12-02T08:39:00.282592
56000,-77.93,0.42,0.27,0.15,0.19,0.23,0.16,980.3,2025-12-02T08:42:05.161065
56100,-155.58,0.40,0.16,0.24,0.22,0.23,0.15,1049.5,2025-12-02T08:47:42.040624
56200,-159.20,0.40,0.14,0.26,0.21,0.27,0.12,1031.5,2025-12-02T08:50:55.743741
56300,-171.38,0.39,0.14,0.25,0.20,0.25,0.16,1033.7,2025-12-02T08:54:09.779284
56400,-94.57,0.43,0.15,0.28,0.27,0.14,0.16,972.1,2025-12-02T08:57:13.920776
56500,-102.17,0.48,0.23,0.25,0.20,0.16,0.16,986.2,2025-12-02T09:00:20.296629
56600,-240.02,0.47,0.09,0.38,0.17,0.19,0.17,1079.1,2025-12-02T09:06:22.686946
56700,-166.06,0.50,0.19,0.31,0.18,0.21,0.11,1042.8,2025-12-02T09:09:38.452934
56800,-135.17,0.48,0.18,0.30,0.20,0.21,0.11,1024.5,2025-12-02T09:12:51.417426
56900,-189.36,0.55,0.22,0.33,0.14,0.12,0.19,1050.4,2025-12-02T09:16:09.344669
57000,-78.36,0.48,0.23,0.25,0.23,0.18,0.11,992.7,2025-12-02T09:19:15.966304
57100,-173.24,0.43,0.15,0.28,0.21,0.20,0.16,1039.0,2025-12-02T09:25:10.526181
57200,-122.62,0.44,0.14,0.30,0.27,0.16,0.13,1002.8,2025-12-02T09:28:19.562559
57300,-187.47,0.48,0.15,0.33,0.20,0.15,0.17,1038.5,2025-12-02T09:31:34.370743
57400,-171.78,0.37,0.08,0.29,0.26,0.22,0.15,1029.6,2025-12-02T09:34:47.472987
57500,-156.63,0.52,0.25,0.27,0.12,0.22,0.14,1027.4,2025-12-02T09:38:00.906628
57600,-52.47,0.44,0.26,0.18,0.23,0.19,0.14,976.1,2025-12-02T09:42:16.775855
57700,-130.68,0.48,0.15,0.33,0.22,0.18,0.12,1003.7,2025-12-02T09:45:27.011226
57800,-165.04,0.46,0.18,0.28,0.17,0.22,0.15,1040.7,2025-12-02T09:48:43.527217
57900,-84.73,0.42,0.24,0.18,0.18,0.22,0.18,971.1,2025-12-02T09:51:46.954880
58000,-98.56,0.41,0.23,0.18,0.22,0.16,0.21,1006.6,2025-12-02T09:54:56.211970
58100,-184.96,0.46,0.16,0.30,0.17,0.24,0.13,1042.0,2025-12-02T09:59:59.096912
58200,-113.05,0.44,0.14,0.30,0.26,0.20,0.10,996.6,2025-12-02T10:03:07.805825
58300,-178.61,0.45,0.17,0.28,0.16,0.24,0.15,1032.8,2025-12-02T10:06:21.783982
58400,-111.19,0.61,0.26,0.35,0.15,0.14,0.10,1006.7,2025-12-02T10:09:31.801455
58500,-91.58,0.52,0.21,0.31,0.21,0.15,0.12,979.4,2025-12-02T10:12:37.316468
58600,-146.16,0.43,0.16,0.27,0.23,0.13,0.21,1015.1,2025-12-02T10:17:41.922170
58700,-152.79,0.44,0.21,0.23,0.15,0.26,0.15,1031.0,2025-12-02T10:20:56.053079
58800,-102.84,0.51,0.22,0.29,0.22,0.13,0.14,1001.7,2025-12-02T10:24:03.950325
58900,-86.16,0.44,0.25,0.19,0.17,0.27,0.12,986.1,2025-12-02T10:27:09.906466
59000,-128.79,0.48,0.23,0.25,0.17,0.18,0.17,1012.5,2025-12-02T10:30:20.367221
59100,-142.03,0.47,0.16,0.31,0.19,0.20,0.14,996.7,2025-12-02T10:35:02.914078
59200,-193.95,0.55,0.18,0.37,0.13,0.16,0.16,1047.7,2025-12-02T10:38:19.489653
59300,-132.59,0.43,0.16,0.27,0.19,0.20,0.18,987.8,2025-12-02T10:41:26.212741
59400,-118.92,0.55,0.20,0.35,0.20,0.12,0.13,1008.4,2025-12-02T10:44:35.451881
59500,-171.04,0.40,0.10,0.30,0.23,0.20,0.17,1027.3,2025-12-02T10:47:48.438309
59600,-115.41,0.30,0.12,0.18,0.28,0.19,0.23,981.7,2025-12-02T10:53:33.360194
59700,-154.38,0.32,0.12,0.20,0.25,0.23,0.20,1023.4,2025-12-02T10:56:46.064859
59800,-118.31,0.44,0.25,0.19,0.16,0.26,0.14,1002.9,2025-12-02T10:59:55.121789
59900,-84.79,0.33,0.15,0.18,0.29,0.22,0.16,966.3,2025-12-02T11:02:58.000661
60000,-163.53,0.42,0.20,0.22,0.14,0.29,0.15,1025.8,2025-12-02T11:06:10.722917
60100,-135.26,0.32,0.11,0.21,0.27,0.26,0.15,1012.3,2025-12-02T11:10:56.240344
60200,-73.50,0.22,0.10,0.12,0.35,0.30,0.13,971.1,2025-12-02T11:14:01.151398
60300,-139.36,0.36,0.13,0.23,0.25,0.25,0.14,1016.0,2025-12-02T11:17:13.866174
60400,-174.52,0.36,0.13,0.23,0.24,0.19,0.21,1050.2,2025-12-02T11:20:32.012647
60500,-227.01,0.47,0.10,0.37,0.19,0.20,0.14,1081.7,2025-12-02T11:23:54.531998
60600,-105.59,0.52,0.24,0.28,0.17,0.16,0.15,1007.4,2025-12-02T11:29:44.252296
60700,-141.99,0.40,0.16,0.24,0.21,0.27,0.12,1023.3,2025-12-02T11:32:57.435372
60800,-80.31,0.44,0.18,0.26,0.25,0.16,0.15,960.0,2025-12-02T11:35:59.428149
60900,-164.28,0.31,0.11,0.20,0.25,0.27,0.17,1037.2,2025-12-02T11:39:14.613629
61000,-100.55,0.39,0.16,0.23,0.27,0.14,0.20,989.5,2025-12-02T11:42:22.674437
61100,-221.71,0.43,0.14,0.29,0.16,0.25,0.16,1071.5,2025-12-02T11:48:24.039241
61200,-140.14,0.37,0.16,0.21,0.24,0.21,0.18,1012.1,2025-12-02T11:51:36.110951
61300,-150.17,0.38,0.15,0.23,0.22,0.21,0.19,1011.6,2025-12-02T11:54:46.347015
61400,-131.08,0.44,0.23,0.21,0.16,0.29,0.11,1027.5,2025-12-02T11:57:59.872337
61500,-98.58,0.34,0.19,0.15,0.23,0.29,0.14,969.0,2025-12-02T12:01:03.402880
61600,-196.29,0.37,0.12,0.25,0.23,0.18,0.22,1055.8,2025-12-02T12:07:01.382465
61700,-169.62,0.40,0.13,0.27,0.23,0.21,0.16,1033.0,2025-12-02T12:10:16.185622
61800,-230.61,0.32,0.05,0.27,0.25,0.23,0.20,1078.2,2025-12-02T12:13:39.225759
61900,-193.14,0.38,0.16,0.22,0.18,0.24,0.20,1051.0,2025-12-02T12:16:57.191814
62000,-112.08,0.33,0.12,0.21,0.29,0.25,0.13,1000.2,2025-12-02T12:20:06.280970
62100,-124.43,0.37,0.19,0.18,0.21,0.20,0.22,990.2,2025-12-02T12:24:43.156913
62200,-130.53,0.39,0.17,0.22,0.21,0.30,0.10,1014.4,2025-12-02T12:27:55.664122
62300,-119.13,0.39,0.21,0.18,0.18,0.28,0.15,1008.6,2025-12-02T12:31:06.910306
62400,-186.94,0.34,0.12,0.22,0.20,0.31,0.15,1042.6,2025-12-02T12:34:22.468848
62500,-145.02,0.43,0.08,0.35,0.27,0.18,0.12,1018.6,2025-12-02T12:37:34.845714
62600,-290.32,0.42,0.13,0.29,0.11,0.25,0.22,1102.4,2025-12-02T12:42:48.212652
62700,-190.48,0.31,0.12,0.19,0.24,0.24,0.21,1051.9,2025-12-02T12:46:08.235789
62800,-183.56,0.38,0.12,0.26,0.23,0.22,0.17,1032.0,2025-12-02T12:49:24.278774
62900,-166.49,0.39,0.16,0.23,0.19,0.25,0.17,1011.1,2025-12-02T12:52:37.212544
63000,-177.37,0.39,0.19,0.20,0.15,0.31,0.15,1036.4,2025-12-02T12:55:52.629277
63100,-149.89,0.36,0.20,0.16,0.17,0.23,0.24,1004.4,2025-12-02T13:01:44.885252
63200,-118.21,0.31,0.18,0.13,0.23,0.34,0.12,1002.2,2025-12-02T13:04:53.027340
63300,-126.25,0.41,0.23,0.18,0.17,0.30,0.12,1020.0,2025-12-02T13:08:05.050105
63400,-214.37,0.38,0.13,0.25,0.15,0.33,0.14,1055.0,2025-12-02T13:11:23.511575
63500,-96.82,0.26,0.14,0.12,0.30,0.27,0.17,983.6,2025-12-02T13:14:31.108204
63600,-215.47,0.34,0.17,0.17,0.15,0.37,0.14,1056.2,2025-12-02T13:20:33.438520
63700,-224.73,0.33,0.10,0.23,0.18,0.36,0.13,1059.9,2025-12-02T13:23:51.725856
63800,-173.85,0.40,0.16,0.24,0.17,0.27,0.16,1018.8,2025-12-02T13:27:03.347543
63900,-143.27,0.47,0.22,0.25,0.16,0.15,0.22,997.8,2025-12-02T13:30:11.275174
64000,-246.20,0.43,0.15,0.28,0.12,0.28,0.17,1075.1,2025-12-02T13:33:31.900668
64100,-229.09,0.40,0.08,0.32,0.21,0.22,0.17,1070.5,2025-12-02T13:38:33.006799
64200,-271.24,0.37,0.12,0.25,0.12,0.29,0.22,1087.3,2025-12-02T13:41:57.456792
64300,-133.29,0.38,0.16,0.22,0.23,0.25,0.14,1008.1,2025-12-02T13:45:07.075027
64400,-195.38,0.36,0.10,0.26,0.20,0.30,0.14,1030.5,2025-12-02T13:48:20.803033
